,0,1
AI,-0.9434217735022384,0.2177632179271536
AWS,0.2566112079770656,-0.5383447866971086
Azure,0.4222722228253282,0.3753278353243528
Big Data,-0.3866588415559859,0.9312092481443607
C/C++,-0.9361818858036896,-0.7033491421854956
Data Analysis,0.4736671532147291,0.9334411903818638
Data Warehouse,0.8840923578274159,-0.2670721697890342
Excel,-0.4975789846155968,0.2388267771545919
Git,0.9682944771879411,0.27046765986730004
HBase,-0.131775614473411,0.6067966386765128
Hadoop,0.6597014188701336,0.9619590240716751
Hive,-0.13333219862168932,0.9484896473240284
Java,0.5603134663580124,-0.33712380068364267
JavaScript,0.6998034411321689,0.533176489298864
Kafka,-0.17385590886577404,0.2653907987894931
Linux,-1.0,-0.32022129715373965
MATLAB,0.7506051540062689,-0.2335803268888842
Machine Learning,-0.7149958347578774,-0.745000671890216
Microsoft Office,-0.1558337450815562,0.6491452142667603
Microsoft SQL Server,-0.056187023381869636,-0.7316628626286585
MySQL,0.43602605116091186,-0.5319385962450962
Natural Language Processing,-0.40241394349731846,-0.42832592158069643
NoSQL,0.923706130421423,-0.0034874105866240348
Oracle,0.37334445233115254,0.024758190538460196
Perl,-0.6876757859845348,-0.9827735057139322
PostgreSQL,-0.7197020497206542,0.7425989496092895
Python,-0.23152079306041928,0.005103980951639719
R,0.18343611676640245,0.36748831701953943
SAS,-0.5003454421442548,0.17894874825130425
SQL,-0.23090348402924352,-0.503289917842431
Scala,0.5746861578103605,-0.9547613413126497
Scripting,-0.1589527829979944,-0.384075902580216
Spark,0.2295911716792455,0.1128000674813218
Tableau,-0.46538693770078,-0.20447249747874272
TensorFlow,0.1305720502263326,-0.4942118438213476
