lat,lon
0,0
0,0
40.7127281,-74.0060152
40.7127281,-74.0060152
40.7896239,-73.9598939
40.72982535,-73.96075198
40.7127281,-74.0060152
40.6501038,-73.9495823
40.74123595,-73.35669117
40.7127281,-74.0060152
0,0
0,0
40.7127281,-74.0060152
40.7127281,-74.0060152
40.7644002,-73.998863
0,0
40.7127281,-74.0060152
0,0
40.7524472,-73.9646461
40.7127281,-74.0060152
40.7127281,-74.0060152
0,0
40.7127281,-74.0060152
40.7127281,-74.0060152
40.7602435,-74.0028752
40.7127281,-74.0060152
40.7524472,-73.9646461
40.7127281,-74.0060152
0,0
40.7127281,-74.0060152
40.6524927,-73.79142142
0,0
40.7415237,-73.9571276
40.7896239,-73.9598939
0,0
0,0
40.7896239,-73.9598939
40.7127281,-74.0060152
0,0
40.7607161,-73.9669623
40.7607161,-73.9669623
40.7127281,-74.0060152
0,0
0,0
40.7493074,-73.9794185
40.7127281,-74.0060152
40.74123595,-73.35669117
40.7644002,-73.998863
40.7127281,-74.0060152
40.7493074,-73.9794185
0,0
40.85048545,-73.84040356
0,0
40.7127281,-74.0060152
40.7127281,-74.0060152
0,0
0,0
40.7644002,-73.998863
0,0
40.6501038,-73.9495823
40.7127281,-74.0060152
40.7127281,-74.0060152
40.7493074,-73.9794185
0,0
0,0
40.7127281,-74.0060152
40.7127281,-74.0060152
40.75895946,-73.97957188
0,0
0,0
0,0
40.74123595,-73.35669117
0,0
0,0
0,0
40.7555755,-73.97503
40.7524472,-73.9646461
40.7127281,-74.0060152
0,0
40.7392225,-73.97336
40.7127281,-74.0060152
40.7127281,-74.0060152
0,0
40.7127281,-74.0060152
0,0
40.7127281,-74.0060152
40.7896239,-73.9598939
0,0
40.7127281,-74.0060152
40.7127281,-74.0060152
40.7127281,-74.0060152
40.7127281,-74.0060152
40.72982535,-73.96075198
0,0
40.7392225,-73.97336
40.7127281,-74.0060152
40.74123595,-73.35669117
40.7524472,-73.9646461
40.7127281,-74.0060152
40.7127281,-74.0060152
40.75033067,-73.99189825
0,0
40.74123595,-73.35669117
40.7524472,-73.9646461
40.7127281,-74.0060152
40.7524472,-73.9646461
0,0
40.7127281,-74.0060152
0,0
40.7896239,-73.9598939
0,0
40.7127281,-74.0060152
40.74123595,-73.35669117
40.74123595,-73.35669117
40.7127281,-74.0060152
0,0
40.7524472,-73.9646461
40.7127281,-74.0060152
40.7127281,-74.0060152
0,0
40.74123595,-73.35669117
40.74123595,-73.35669117
40.74123595,-73.35669117
40.75134705,-73.975136
0,0
40.7127281,-74.0060152
40.7602435,-74.0028752
40.74123595,-73.35669117
40.74123595,-73.35669117
40.7493074,-73.9794185
0,0
40.7127281,-74.0060152
