Salary1,Salary2,Job_Type,Skill,No_of_Skills,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Revenue,Employees,Industry
less than80000,80000,data_scientist,"Machine Learning, Microsoft Powerpoint, Microsoft Office",3,1324,4.800000191,1,UT,,"10,000+",Organization
less than80000,80000,data_scientist,".Net, C#, Machine Learning, Software Development, MATLAB, Image Processing, Signal Processing, Python, C/C++",9,15,3.700000048,30,OH,less than $1B ,"less than 10,000",Aerospace and Defense
less than80000,80000,data_scientist,"AI, Machine Learning",2,,,18,CA,,,
80000-99999,90000,data_scientist,"Java, Data Mining, Machine Learning, Design Experience, Scripting, R, SAS, Python",8,23472,3.900000095,1,USA,,"10,000+",Consulting and Business Services
80000-99999,90000,data_scientist,"Pentaho, Excel",2,,,5,OR,,,
80000-99999,90000,data_scientist,Data Mining,1,8595,4,1,WA,more than $10B ,"10,000+",Telecommunications
80000-99999,90000,data_scientist,"Microsoft SQL Server, Data Mining, R, Oracle, SAS, SQL, DB2",7,157456,3.599999905,1,TX,more than $10B ,"10,000+",Retail
80000-99999,90000,data_scientist,,0,11,4.400000095,1,OH,,,
80000-99999,90000,data_scientist,"Natural Language Processing, Machine Learning",2,248,3.799999952,3,FL,$1B to $5B ,"10,000+",Energy and Utilities
80000-99999,90000,data_scientist,"AI, Next Generation Sequencing, Machine Learning, Bioinformatics",4,156,4.300000191,7,IL,,"10,000+",Government
80000-99999,90000,data_scientist,"Microsoft SQL Server, Data Mining, R, Oracle, SAS, SQL, DB2",7,157456,3.599999905,7,AR,more than $10B ,"10,000+",Retail
80000-99999,90000,data_scientist,,0,,,30,VA,,,
80000-99999,90000,data_scientist,".Net, Data Mining, C#, Machine Learning, R, C/C++, Python, SQL",8,5178,4.199999809,10,WA,more than $10B ,"10,000+",Internet and Software
80000-99999,90000,data_scientist,"Data Mining, Data Warehouse, R, SAS, Statisical Analysis, Python, SQL",7,8696,4,8,TX,more than $10B ,"10,000+",Computers and Electronics
80000-99999,90000,data_scientist,,0,,,30,VA,,,
80000-99999,90000,data_scientist,"Machine Learning, R, Microsoft Office, SQL, Alteryx, Data Warehouse, Python",7,4635,3.5,4,PA,$5B to $10B ,"10,000+",Retail
80000-99999,90000,data_scientist,"Machine Learning, R, Perl, C/C++, SQL, Big Data, SPSS, MATLAB, Data Mining, Ruby, Hadoop, SAS, Tableau, Java, Spark, Git, Python, Data Science",18,3006,3.900000095,10,MO,$1B to $5B ,"less than 10,000",Consumer Goods and Services
80000-99999,90000,data_scientist,"Machine Learning, R, Perl, SPSS, MATLAB, Statistical Software, Hadoop, SAS, Java, Python",10,5671,3.799999952,14,NC,more than $10B ,"10,000+",Insurance
80000-99999,90000,data_scientist,"R, Marketing, SAS, SQL, Python",5,381,4.199999809,15,ME,,,
80000-99999,90000,data_scientist,,0,282,4.199999809,30,CA,,,Education and Schools
80000-99999,90000,data_scientist,"Machine Learning, R, SAS, Python, SQL",5,197,3.900000095,13,IL,,,
80000-99999,90000,data_scientist,"Data Mining, Statisical Analysis, Customer Service",3,1296,4,4,NV,$5B to $10B ,"10,000+",Restaurants and Travel and Leisure
80000-99999,90000,data_scientist,"Java, AI, Machine Learning",3,27,3.299999952,30,CT,$1B to $5B ,"less than 10,000",Banks and Financial Services
80000-99999,90000,data_scientist,"Machine Learning, R, Perl, SPSS, MATLAB, Statistical Software, Hadoop, SAS, Java, Python",10,5671,3.799999952,30,WA,more than $10B ,"10,000+",Insurance
80000-99999,90000,data_scientist,"Predictive Analytics, Hive, Spark, Machine Learning, Python, SQL, AWS",7,322,3.299999952,28,REMOTE,less than $1B ,"less than 10,000",Internet and Software
80000-99999,90000,data_scientist,"Business Intelligence, Data Mining, Machine Learning, R, SAS, Sentiment Analytics, SQL, SPSS, Data Science, Python",10,198,3.900000095,13,RI,,"less than 10,000",Insurance
80000-99999,90000,data_scientist,"Machine Learning, Data Management, MATLAB, R, SAS",5,2433,3.799999952,4,PA,more than $10B ,"10,000+",Health Care
80000-99999,90000,data_scientist,"JavaScript, Machine Learning, XML, Hadoop, R, SQL, HTML5, Shell Scripting, CSS, Python, AWS",11,,,13,NY,,,
80000-99999,90000,data_scientist,"JavaScript, Machine Learning, XML, Hadoop, R, SQL, HTML5, Shell Scripting, CSS, Python, AWS",11,,,13,NY,,,
80000-99999,90000,data_scientist,"Data Mining, Excel",2,32,4.599999905,5,VA,less than $1B ,"less than 10,000",Organization
80000-99999,90000,data_scientist,"Data Mining, R, SAS, Sentiment Analytics, Microsoft Office, Tableau, Natural Language Processing, Python, Data Science",9,7197,4,23,FL,,"10,000+",Consulting and Business Services
80000-99999,90000,data_scientist,"Machine Learning, R, SAS, Microsoft Office, SQL",5,1005,3.200000048,19,TN,,"10,000+",Insurance
80000-99999,90000,data_scientist,"Business Intelligence, Power BI, Tableau",3,3842,3.900000095,11,FL,more than $10B ,"10,000+",Insurance
80000-99999,90000,data_scientist,"AI, Machine Learning, R, Python, SQL, Tableau",6,181,3.799999952,30,NY,,"less than 10,000",Media and News and Publishing
80000-99999,90000,data_scientist,"Data Mining, Machine Learning, Project Management, Azure, Google Cloud Platform, SAS, SQL, Cloud Computing, Data Warehouse, Python, AWS",11,2550,3.5,20,MA,more than $10B ,"10,000+",Retail
80000-99999,90000,data_scientist,"Data Mining, Machine Learning, R, Python, SQL",5,,,30,TX,,,
80000-99999,90000,data_scientist,"Data Mining, Machine Learning, R, Python, Excel, SQL",6,17,3.799999952,28,WA,less than $1B ,"less than 10,000",Consumer Goods and Services
80000-99999,90000,data_scientist,"MySQL, Machine Learning, R, Python",4,3,1.299999952,30,WI,,,
80000-99999,90000,data_scientist,"Data Mining, Tableau",2,11,4.5,18,DC,,"less than 10,000",
80000-99999,90000,data_scientist,"Salesforce CRM, Pardot, Marketing Automation, SQL",4,,,30,SC,,,
80000-99999,90000,data_scientist,"Certified Internal Auditor, UI",2,158,4.300000191,30,DC,,,Government
80000-99999,90000,data_scientist,"Statistical Software, R, SAS, Microsoft Office, Excel, SQL, Big Data, Alteryx, SPSS, MATLAB, Six Sigma Certification, Six Sigma, Google Suite, Python",14,998,3.599999905,30,MO,,,Retail
80000-99999,90000,data_scientist,"Machine Learning, R, SQL, MATLAB, Python, Signal Processing",6,3285,4.099999905,6,IL,more than $10B ,"10,000+",Health Care
