,Paired Skills,Salary
860,"Microsoft Office,SPSS",72783
861,"NoSQL,Scala",72758
862,"C/C++,Project Management",72701
863,"AWS,Linux",72700
864,"Big Data,Perl",72686
865,"MongoDB,Perl",72667
866,"SPSS,Scripting",72619
867,"MySQL,Natural Language Processing",72452
868,"Data Warehouse,Natural Language Processing",72431
869,"NoSQL,SPSS",72212
870,"Microsoft Office,Scripting",72130
871,"Linux,Perl",72079
872,"Project Management,R",72063
873,"Java,MySQL",72028
874,"MongoDB,S3",72020
875,"Data Warehouse,Java",72007
876,"Java,S3",71980
877,"Excel,Python",71926
878,"NoSQL,Scripting",71859
879,"Data Analysis,Project Management",71813
880,"Azure,Big Data",71783
881,"Pig,Shell Scripting",71747
882,"Business Intelligence,Project Management",71741
883,"Linux,S3",71634
884,"AI,Scala",71624
885,"Hive,PostgreSQL",71566
886,"Microsoft Office,NoSQL",71510
887,"Azure,MongoDB",71485
888,"Data Science,Project Management",71283
889,"AI,SPSS",71078
890,"Perl,SPSS",71014
891,"Big Data,MySQL",71005
892,"Big Data,Data Warehouse",70984
893,"Data Warehouse,MongoDB",70966
894,"Azure,Java",70930
895,Project Management,70902
896,"Cassandra,Project Management",70902
897,"Project Management,TensorFlow",70902
898,"Kafka,Project Management",70902
899,"Azure,Linux",70897
900,"PostgreSQL,Python",70891
901,"Big Data,Excel",70823
902,"HBase,Project Management",70799
903,"AWS,SPSS",70732
904,"AI,Scripting",70725
905,"Perl,Scala",70656
906,"MySQL,Tableau",70498
907,"S3,Scala",70497
908,"Perl,Software Development",70438
909,"Linux,MySQL",70399
910,"AWS,Scripting",70379
911,"Data Warehouse,Linux",70377
912,"AI,Microsoft Office",70376
913,"Natural Language Processing,Project Management",70368
914,"Excel,JavaScript",70138
915,"Pig,SAS",70131
916,"AI,NoSQL",70105
917,"Azure,Scala",70072
918,"AWS,Microsoft Office",70030
919,"MongoDB,MySQL",69999
920,"Java,Project Management",69944
921,"AWS,NoSQL",69759
922,"Perl,Scripting",69757
923,"Excel,Hadoop",69539
924,"Git,Pig",69511
925,"S3,SPSS",69463
926,"Microsoft Office,MySQL",69412
927,"Microsoft Office,Perl",69408
928,"JavaScript,PostgreSQL",69259
929,"NoSQL,Perl",69138
930,"S3,Scripting",69110
931,"MySQL,Scala",69092
932,"MySQL,NoSQL",68996
933,"Data Warehouse,Scala",68955
934,"Azure,SPSS",68928
935,"Big Data,Project Management",68921
936,"MongoDB,Project Management",68902
937,"NoSQL,S3",68830
938,"Microsoft Office,S3",68761
939,"C/C++,Excel",68711
940,"AI,AWS",68625
941,"Data Warehouse,Scripting",68618
942,"Azure,Scripting",68575
943,"MySQL,SPSS",68430
944,"Data Warehouse,SPSS",68409
945,"Linux,Project Management",68314
946,"Azure,Microsoft Office",68226
947,"MySQL,Scripting",68077
948,"AI,Perl",68003
949,"Azure,NoSQL",67956
950,"Data Warehouse,Microsoft Office",67707
951,"Data Analysis,Excel",67687
952,"AWS,Perl",67657
953,"Hadoop,PostgreSQL",67509
954,"Data Warehouse,NoSQL",67436
955,"AI,S3",67356
956,"Microsoft SQL Server,Pig",67355
957,"PostgreSQL,SQL",67270
958,"AWS,Azure",67170
959,"Data Science,Excel",67157
960,"Business Intelligence,Excel",67139
961,"Pig,Software Development",67041
962,"Excel,Tableau",67015
963,"Project Management,Scala",66891
964,"AI,Azure",66822
965,"Excel,Kafka",66776
966,"Cassandra,Excel",66776
967,Excel,66776
968,"Excel,TensorFlow",66776
969,"Oracle,Pig",66772
970,"C/C++,PostgreSQL",66680
971,"Excel,HBase",66673
972,"AWS,MySQL",66642
973,"PostgreSQL,Tableau",66400
974,"Perl,S3",66388
975,"Project Management,SPSS",66345
976,"PostgreSQL,R",66343
977,"AI,MySQL",66323
978,"AI,Data Warehouse",66302
979,"Excel,Natural Language Processing",66241
980,"Project Management,Scripting",65992
981,"AWS,Data Warehouse",65956
982,"Azure,Perl",65854
983,"Excel,Java",65818
984,"NoSQL,Project Management",65755
985,"Data Analysis,PostgreSQL",65656
986,"Data Science,PostgreSQL",65359
987,"MySQL,Perl",65355
988,"Data Warehouse,Perl",65334
989,"Pig,Spark",65237
990,"Azure,S3",65206
991,"Business Intelligence,PostgreSQL",65108
992,"PostgreSQL,TensorFlow",64745
993,"Cassandra,PostgreSQL",64745
994,PostgreSQL,64745
995,"Kafka,PostgreSQL",64745
996,"Excel,MongoDB",64700
997,"Data Warehouse,S3",64687
998,"HBase,PostgreSQL",64642
999,"MySQL,S3",64642
1000,"Azure,Data Warehouse",64560
1001,"Azure,MySQL",64518
1002,"Excel,Linux",64299
1003,"AI,Project Management",64239
1004,"Natural Language Processing,PostgreSQL",64211
1005,"AWS,Project Management",63892
1006,"Java,PostgreSQL",63787
1007,"Data Warehouse,Project Management",63737
1008,"Hive,Pig",63657
1009,"Data Warehouse,MySQL",63654
1010,".Net,Excel",63621
1011,"Perl,Project Management",63271
1012,"Excel,Microsoft Office",63201
1013,"Microsoft Office,Project Management",63139
1014,"MySQL,Project Management",62807
1015,"Excel,Scala",62765
1016,"Big Data,PostgreSQL",62764
1017,"Project Management,S3",62623
1018,"Data Warehouse,Excel",62522
1019,"Azure,Project Management",62497
1020,"MongoDB,PostgreSQL",62255
1021,"Excel,SPSS",62219
1022,"Linux,PostgreSQL",62157
1023,"JavaScript,Pig",62085
1024,"Excel,Scripting",62009
1025,"Excel,NoSQL",61247
1026,"Hadoop,Pig",61180
1027,"PostgreSQL,Scala",60734
1028,"Pig,SQL",60647
1029,"Pig,Python",60589
1030,"Excel,MySQL",60277
1031,"C/C++,Pig",60244
1032,"PostgreSQL,SPSS",60189
1033,"AI,Excel",60112
1034,"AI,PostgreSQL",60043
1035,"PostgreSQL,Scripting",59835
1036,"NoSQL,PostgreSQL",59799
1037,"AWS,Excel",59766
1038,"Microsoft Office,PostgreSQL",59487
1039,"Pig,R",59399
1040,"Excel,Perl",59320
1041,"Data Warehouse,PostgreSQL",59061
1042,"Data Analysis,Pig",58712
1043,"AWS,PostgreSQL",58491
1044,"Pig,Tableau",58039
1045,"Azure,Excel",57963
1046,"Cassandra,Pig",57801
1047,"Kafka,Pig",57801
1048,Pig,57801
1049,"Pig,TensorFlow",57801
1050,"Data Science,Pig",57775
1051,"HBase,Pig",57698
1052,"Business Intelligence,Pig",57636
1053,"Natural Language Processing,Pig",57266
1054,"Perl,PostgreSQL",57114
1055,"PostgreSQL,S3",56895
1056,"Java,Pig",56842
1057,"Excel,S3",56395
1058,"Big Data,Pig",56304
1059,"MySQL,PostgreSQL",56131
1060,"Azure,PostgreSQL",55932
1061,"MongoDB,Pig",55801
1062,"Linux,Pig",55429
1063,"Pig,Scripting",54116
1064,"PostgreSQL,Project Management",53891
1065,"Pig,Scala",53790
1066,"Pig,SPSS",53244
1067,"Microsoft Office,Pig",52542
1068,"Excel,PostgreSQL",52496
1069,"NoSQL,Pig",52272
1070,"Perl,Pig",52257
1071,"AI,Pig",51137
1072,"AWS,Pig",50791
1073,"Pig,S3",49522
1074,"Azure,Pig",48988
1075,"Excel,Project Management",48722
1076,"MySQL,Pig",48489
1077,"Data Warehouse,Pig",48468
1078,"Pig,Project Management",47125
1079,"Excel,Pig",42279
1080,"Pig,PostgreSQL",40591
