,word,topic_id,importance,word_count
0,management,0,0.32445189356803894,75
1,power,0,0.11470509320497513,23
2,accounting,0,0.0914115160703659,22
3,sharepoint,0,0.045017894357442856,10
4,account,0,0.04445024952292442,17
5,peoplesoft,0,0.036874521523714066,12
6,regulatory,0,0.0202928576618433,8
7,reporting,0,0.0202928576618433,8
8,process,0,0.01975339651107788,6
9,hyperion,0,0.017703725025057793,7
10,business,1,0.23218847811222076,113
11,intelligence,1,0.17143908143043518,81
12,datum,1,0.12939295172691345,49
13,analysis,1,0.10732141137123108,54
14,network,1,0.03382881358265877,24
15,science,1,0.03208114951848984,29
16,ai,1,0.026308322325348854,9
17,warehouse,1,0.025102583691477776,6
18,big,1,0.024731237441301346,9
19,project,1,0.024063825607299805,11
20,marketing,2,0.30772456526756287,80
21,analytic,2,0.07798776775598526,43
22,omniture,2,0.0451645627617836,13
23,confluence,2,0.031486764550209045,3
24,jira,2,0.031096545979380608,2
25,digital,2,0.030440550297498703,5
26,visual,2,0.02885078825056553,5
27,saa,2,0.02766737900674343,7
28,workday,2,0.026044342666864395,3
29,sdlc,2,0.025971343740820885,9
30,go,3,0.34276247024536133,175
31,office,3,0.23825514316558838,72
32,excel,3,0.21363434195518494,65
33,seo,3,0.030674267560243607,8
34,ach,3,0.022265300154685974,5
35,platform,3,0.019967909902334213,7
36,sps,3,0.012246256694197655,10
37,program,3,0.005964493378996849,2
38,android,3,0.005718383938074112,6
39,performance,3,0.0041646454483270645,1
