,loc
169,"[40.6501038, -73.9495823]"
170,"[40.7127281, -74.0060152]"
171,"[40.7127281, -74.0060152]"
172,"[40.7127281, -74.0060152]"
173,"[40.7127281, -74.0060152]"
174,"[40.7493074, -73.9794185]"
175,"[34.220389, 70.3800314]"
176,"[40.7607161, -73.9669623]"
177,"[40.7862724108575, -73.9756026854427]"
178,"[34.220389, 70.3800314]"
179,"[40.7127281, -74.0060152]"
180,"[40.7127281, -74.0060152]"
181,"[34.220389, 70.3800314]"
182,"[40.7896239, -73.9598939]"
183,"[40.7392225, -73.97336]"
184,"[40.6501038, -73.9495823]"
185,"[40.7127281, -74.0060152]"
186,"[40.7127281, -74.0060152]"
187,"[40.7127281, -74.0060152]"
188,"[40.7127281, -74.0060152]"
189,"[40.7127281, -74.0060152]"
190,"[40.7127281, -74.0060152]"
191,"[40.7896239, -73.9598939]"
192,"[40.7127281, -74.0060152]"
193,"[40.7127281, -74.0060152]"
194,"[40.7127281, -74.0060152]"
195,"[40.7127281, -74.0060152]"
196,"[40.754603, -73.9756765]"
197,"[40.7127281, -74.0060152]"
198,"[40.7392225, -73.97336]"
199,"[40.7555755, -73.97503]"
200,"[40.7127281, -74.0060152]"
201,"[40.6501038, -73.9495823]"
202,"[40.7484282571429, -73.9855041857143]"
203,"[40.7127281, -74.0060152]"
204,"[40.7127281, -74.0060152]"
205,"[34.220389, 70.3800314]"
206,"[34.220389, 70.3800314]"
207,"[40.6501038, -73.9495823]"
208,"[40.7127281, -74.0060152]"
209,"[40.7127281, -74.0060152]"
210,"[40.7127281, -74.0060152]"
211,"[34.220389, 70.3800314]"
212,"[40.72982535, -73.9607519781549]"
213,"[34.220389, 70.3800314]"
214,"[34.220389, 70.3800314]"
215,"[34.220389, 70.3800314]"
216,"[40.7555755, -73.97503]"
217,"[40.7127281, -74.0060152]"
218,"[40.7127281, -74.0060152]"
219,"[40.6501038, -73.9495823]"
220,"[34.220389, 70.3800314]"
221,"[40.7127281, -74.0060152]"
222,"[34.220389, 70.3800314]"
223,"[40.7896239, -73.9598939]"
224,"[40.7127281, -74.0060152]"
225,"[40.7644002, -73.998863]"
226,"[40.7415237, -73.9571276]"
227,"[34.220389, 70.3800314]"
228,"[40.7127281, -74.0060152]"
229,"[40.7127281, -74.0060152]"
230,"[34.220389, 70.3800314]"
231,"[40.7127281, -74.0060152]"
232,"[34.220389, 70.3800314]"
233,"[40.7644002, -73.998863]"
234,"[40.7127281, -74.0060152]"
235,"[40.74123595, -73.356691165361]"
236,"[40.7127281, -74.0060152]"
237,"[40.7513470533201, -73.975136004133]"
238,"[34.220389, 70.3800314]"
239,"[40.7127281, -74.0060152]"
240,"[40.7127281, -74.0060152]"
241,"[40.7127281, -74.0060152]"
242,"[34.220389, 70.3800314]"
243,"[34.220389, 70.3800314]"
244,"[40.85048545, -73.8404035580209]"
245,"[40.6524927, -73.7914214158161]"
246,"[40.6501038, -73.9495823]"
247,"[40.7127281, -74.0060152]"
248,"[40.7127281, -74.0060152]"
249,"[40.7127281, -74.0060152]"
250,"[40.7415237, -73.9571276]"
251,"[40.7127281, -74.0060152]"
252,"[40.74123595, -73.356691165361]"
253,"[40.7127281, -74.0060152]"
254,"[40.7127281, -74.0060152]"
255,"[40.7127281, -74.0060152]"
256,"[40.7127281, -74.0060152]"
257,"[40.7127281, -74.0060152]"
258,"[34.220389, 70.3800314]"
259,"[40.7602435, -74.0028752]"
260,"[34.220389, 70.3800314]"
261,"[40.7127281, -74.0060152]"
262,"[34.220389, 70.3800314]"
263,"[34.220389, 70.3800314]"
264,"[34.220389, 70.3800314]"
265,"[40.74123595, -73.356691165361]"
266,"[40.7127281, -74.0060152]"
267,"[40.74123595, -73.356691165361]"
268,"[40.7127281, -74.0060152]"
269,"[40.7695457, -74.0204177]"
270,"[40.7392225, -73.97336]"
271,"[40.7127281, -74.0060152]"
272,"[40.9554943188007, -73.8816135814794]"
273,"[40.7127281, -74.0060152]"
274,"[40.7127281, -74.0060152]"
275,"[34.220389, 70.3800314]"
276,"[40.7127281, -74.0060152]"
277,"[40.7602435, -74.0028752]"
278,"[40.8164458, -74.2210643]"
279,"[40.74123595, -73.356691165361]"
280,"[40.7127281, -74.0060152]"
281,"[40.7127281, -74.0060152]"
282,"[40.7607161, -73.9669623]"
283,"[40.7127281, -74.0060152]"
284,"[40.6524927, -73.7914214158161]"
285,"[40.85048545, -73.8404035580209]"
286,"[40.7415237, -73.9571276]"
287,"[40.7127281, -74.0060152]"
288,"[40.7127281, -74.0060152]"
289,"[40.7127281, -74.0060152]"
290,"[40.7978787, -73.6995749]"
291,"[40.7127281, -74.0060152]"
292,"[40.7127281, -74.0060152]"
293,"[34.220389, 70.3800314]"
294,"[40.7127281, -74.0060152]"
295,"[34.220389, 70.3800314]"
296,"[40.7127281, -74.0060152]"
297,"[40.7896239, -73.9598939]"
298,"[40.7493074, -73.9794185]"
299,"[40.7706572, -73.7176312]"
300,"[40.7127281, -74.0060152]"
301,"[40.7470463, -73.7115199]"
302,"[34.220389, 70.3800314]"
303,"[34.220389, 70.3800314]"
304,"[40.8578772, -74.4259866]"
305,"[40.7493074, -73.9794185]"
306,"[40.7127281, -74.0060152]"
307,"[34.220389, 70.3800314]"
308,"[40.7127281, -74.0060152]"
309,"[34.220389, 70.3800314]"
310,"[40.7644002, -73.998863]"
311,"[40.7127281, -74.0060152]"
312,"[40.7602435, -74.0028752]"
313,"[40.7127281, -74.0060152]"
314,"[40.6524927, -73.7914214158161]"
315,"[40.7127281, -74.0060152]"
316,"[34.220389, 70.3800314]"
317,"[40.8509333, -73.9701382]"
318,"[40.72982535, -73.9607519781549]"
319,"[40.74123595, -73.356691165361]"
320,"[34.220389, 70.3800314]"
321,"[40.6524927, -73.7914214158161]"
322,"[40.7899291, -74.0566735]"
323,"[40.7281575, -74.0776417]"
324,"[40.7524472, -73.9646461]"
325,"[40.7127281, -74.0060152]"
326,"[34.220389, 70.3800314]"
327,"[40.7127281, -74.0060152]"
328,"[40.7127281, -74.0060152]"
329,"[34.220389, 70.3800314]"
330,"[40.7127281, -74.0060152]"
331,"[34.220389, 70.3800314]"
332,"[40.7127281, -74.0060152]"
333,"[40.7607161, -73.9669623]"
334,"[34.220389, 70.3800314]"
335,"[40.7127281, -74.0060152]"
336,"[40.7392225, -73.97336]"
