,loc
741,"[40.7127281, -74.0060152]"
742,"[40.74123595, -73.356691165361]"
743,"[34.220389, 70.3800314]"
744,"[40.7127281, -74.0060152]"
745,"[40.7127281, -74.0060152]"
746,"[40.7524472, -73.9646461]"
747,"[40.74123595, -73.356691165361]"
748,"[40.7127281, -74.0060152]"
749,"[34.220389, 70.3800314]"
750,"[40.7579089, -73.9854044]"
751,"[40.7127281, -74.0060152]"
752,"[40.7524472, -73.9646461]"
753,"[40.7127281, -74.0060152]"
754,"[40.7127281, -74.0060152]"
755,"[40.7127281, -74.0060152]"
756,"[40.7127281, -74.0060152]"
757,"[40.7127281, -74.0060152]"
758,"[40.7644002, -73.998863]"
759,"[34.220389, 70.3800314]"
760,"[40.72982535, -73.9607519781549]"
761,"[40.7978787, -73.6995749]"
762,"[40.9115386, -73.7826363]"
763,"[40.7896239, -73.9598939]"
764,"[34.220389, 70.3800314]"
765,"[34.220389, 70.3800314]"
766,"[40.754603, -73.9756765]"
767,"[40.74123595, -73.356691165361]"
768,"[40.7127281, -74.0060152]"
769,"[40.7127281, -74.0060152]"
770,"[40.7127281, -74.0060152]"
771,"[40.7415237, -73.9571276]"
772,"[34.220389, 70.3800314]"
773,"[40.7127281, -74.0060152]"
774,"[34.220389, 70.3800314]"
775,"[34.220389, 70.3800314]"
776,"[34.220389, 70.3800314]"
777,"[40.7127281, -74.0060152]"
778,"[34.220389, 70.3800314]"
779,"[40.7127281, -74.0060152]"
780,"[34.220389, 70.3800314]"
781,"[34.220389, 70.3800314]"
782,"[34.220389, 70.3800314]"
783,"[40.7415237, -73.9571276]"
784,"[34.220389, 70.3800314]"
785,"[40.6501038, -73.9495823]"
786,"[34.220389, 70.3800314]"
787,"[40.7524472, -73.9646461]"
788,"[40.7127281, -74.0060152]"
789,"[40.7127281, -74.0060152]"
790,"[34.220389, 70.3800314]"
791,"[40.7127281, -74.0060152]"
792,"[40.7127281, -74.0060152]"
793,"[40.6501038, -73.9495823]"
794,"[34.220389, 70.3800314]"
795,"[34.220389, 70.3800314]"
796,"[40.7602435, -74.0028752]"
797,"[40.7579089, -73.9854044]"
798,"[34.220389, 70.3800314]"
799,"[40.7127281, -74.0060152]"
800,"[40.72982535, -73.9607519781549]"
801,"[40.7602435, -74.0028752]"
802,"[40.7127281, -74.0060152]"
803,"[40.7127281, -74.0060152]"
804,"[40.7127281, -74.0060152]"
805,"[40.7579089, -73.9854044]"
806,"[40.7127281, -74.0060152]"
807,"[40.72982535, -73.9607519781549]"
808,"[40.7127281, -74.0060152]"
809,"[40.72982535, -73.9607519781549]"
810,"[40.7127281, -74.0060152]"
811,"[40.72982535, -73.9607519781549]"
812,"[40.7896239, -73.9598939]"
813,"[40.7127281, -74.0060152]"
814,"[34.220389, 70.3800314]"
815,"[40.7127281, -74.0060152]"
816,"[40.6501038, -73.9495823]"
817,"[40.7493074, -73.9794185]"
818,"[40.7493074, -73.9794185]"
819,"[40.7127281, -74.0060152]"
820,"[34.220389, 70.3800314]"
821,"[40.72982535, -73.9607519781549]"
822,"[40.7127281, -74.0060152]"
823,"[40.7127281, -74.0060152]"
824,"[40.7127281, -74.0060152]"
825,"[40.7127281, -74.0060152]"
826,"[40.7493074, -73.9794185]"
827,"[40.7127281, -74.0060152]"
828,"[40.7127281, -74.0060152]"
829,"[40.72982535, -73.9607519781549]"
830,"[40.7127281, -74.0060152]"
831,"[40.7524472, -73.9646461]"
832,"[34.220389, 70.3800314]"
833,"[40.7127281, -74.0060152]"
834,"[34.220389, 70.3800314]"
835,"[34.220389, 70.3800314]"
836,"[40.7127281, -74.0060152]"
837,"[40.7127281, -74.0060152]"
838,"[40.7127281, -74.0060152]"
839,"[40.74123595, -73.356691165361]"
840,"[40.7524472, -73.9646461]"
841,"[40.7524472, -73.9646461]"
842,"[40.7644002, -73.998863]"
843,"[40.74123595, -73.356691165361]"
844,"[34.220389, 70.3800314]"
845,"[40.7524472, -73.9646461]"
846,"[40.85048545, -73.8404035580209]"
847,"[34.220389, 70.3800314]"
848,"[40.7127281, -74.0060152]"
849,"[40.6501038, -73.9495823]"
850,"[40.6501038, -73.9495823]"
851,"[40.7127281, -74.0060152]"
852,"[34.220389, 70.3800314]"
853,"[40.7127281, -74.0060152]"
854,"[40.7607161, -73.9669623]"
855,"[40.7127281, -74.0060152]"
856,"[40.7127281, -74.0060152]"
857,"[40.7127281, -74.0060152]"
858,"[34.220389, 70.3800314]"
859,"[40.7127281, -74.0060152]"
860,"[40.7127281, -74.0060152]"
861,"[40.7127281, -74.0060152]"
862,"[40.7644002, -73.998863]"
863,"[40.7127281, -74.0060152]"
864,"[40.7127281, -74.0060152]"
865,"[40.74123595, -73.356691165361]"
866,"[40.7127281, -74.0060152]"
867,"[40.7127281, -74.0060152]"
868,"[34.220389, 70.3800314]"
869,"[40.7392225, -73.97336]"
870,"[40.7127281, -74.0060152]"
871,"[40.6914852, -73.8056771]"
872,"[40.6524927, -73.7914214158161]"
873,"[40.7810178, -73.959299675]"
874,"[40.7127281, -74.0060152]"
875,"[40.6914852, -73.8056771]"
876,"[40.7127281, -74.0060152]"
877,"[40.7127281, -74.0060152]"
878,"[40.7127281, -74.0060152]"
879,"[40.6914852, -73.8056771]"
880,"[40.7127281, -74.0060152]"
881,"[40.7896239, -73.9598939]"
882,"[40.74123595, -73.356691165361]"
883,"[40.7896239, -73.9598939]"
884,"[40.74123595, -73.356691165361]"
885,"[40.74123595, -73.356691165361]"
886,"[40.7896239, -73.9598939]"
887,"[34.220389, 70.3800314]"
888,"[34.220389, 70.3800314]"
889,"[40.7607161, -73.9669623]"
890,"[40.7127281, -74.0060152]"
891,"[40.7127281, -74.0060152]"
892,"[40.7524472, -73.9646461]"
893,"[34.220389, 70.3800314]"
894,"[40.7127281, -74.0060152]"
895,"[40.7644002, -73.998863]"
896,"[40.74123595, -73.356691165361]"
897,"[40.7127281, -74.0060152]"
898,"[40.74123595, -73.356691165361]"
899,"[40.7127281, -74.0060152]"
900,"[40.7127281, -74.0060152]"
901,"[40.7127281, -74.0060152]"
902,"[40.7127281, -74.0060152]"
903,"[40.7127281, -74.0060152]"
904,"[40.7896239, -73.9598939]"
905,"[40.7602435, -74.0028752]"
906,"[40.7579089, -73.9854044]"
907,"[40.7127281, -74.0060152]"
908,"[40.7579089, -73.9854044]"
909,"[40.735657, -74.1723667]"
910,"[40.7127281, -74.0060152]"
911,"[40.7127281, -74.0060152]"
912,"[34.220389, 70.3800314]"
913,"[34.220389, 70.3800314]"
914,"[40.7127281, -74.0060152]"
915,"[40.7127281, -74.0060152]"
916,"[34.220389, 70.3800314]"
917,"[40.7127281, -74.0060152]"
918,"[40.7127281, -74.0060152]"
919,"[40.7127281, -74.0060152]"
920,"[40.7127281, -74.0060152]"
921,"[34.220389, 70.3800314]"
922,"[40.8088437, -73.9658566]"
923,"[34.220389, 70.3800314]"
924,"[40.7127281, -74.0060152]"
925,"[40.7127281, -74.0060152]"
926,"[40.6524927, -73.7914214158161]"
927,"[34.220389, 70.3800314]"
928,"[40.7127281, -74.0060152]"
929,"[40.7127281, -74.0060152]"
930,"[40.7127281, -74.0060152]"
931,"[34.220389, 70.3800314]"
932,"[40.7127281, -74.0060152]"
933,"[34.220389, 70.3800314]"
934,"[34.220389, 70.3800314]"
935,"[40.7592545, -73.9798434]"
936,"[34.220389, 70.3800314]"
937,"[34.220389, 70.3800314]"
938,"[40.7127281, -74.0060152]"
939,"[40.7579089, -73.9854044]"
940,"[40.7127281, -74.0060152]"
941,"[34.220389, 70.3800314]"
942,"[34.220389, 70.3800314]"
943,"[40.7127281, -74.0060152]"
944,"[40.72982535, -73.9607519781549]"
945,"[40.7579089, -73.9854044]"
946,"[40.7493074, -73.9794185]"
947,"[34.220389, 70.3800314]"
948,"[40.7127281, -74.0060152]"
949,"[40.7493074, -73.9794185]"
950,"[40.7493074, -73.9794185]"
951,"[40.7513470533201, -73.975136004133]"
952,"[40.7392225, -73.97336]"
953,"[40.72982535, -73.9607519781549]"
954,"[34.220389, 70.3800314]"
955,"[34.220389, 70.3800314]"
956,"[34.220389, 70.3800314]"
957,"[40.74123595, -73.356691165361]"
958,"[34.220389, 70.3800314]"
959,"[34.220389, 70.3800314]"
960,"[34.220389, 70.3800314]"
961,"[34.220389, 70.3800314]"
962,"[40.72982535, -73.9607519781549]"
963,"[40.7579089, -73.9854044]"
964,"[40.7607965, -73.979648]"
965,"[40.7896239, -73.9598939]"
966,"[40.7127281, -74.0060152]"
967,"[40.7392225, -73.97336]"
968,"[40.7127281, -74.0060152]"
969,"[34.220389, 70.3800314]"
970,"[40.7513470533201, -73.975136004133]"
971,"[40.7127281, -74.0060152]"
972,"[40.74123595, -73.356691165361]"
973,"[40.7127281, -74.0060152]"
974,"[40.7127281, -74.0060152]"
975,"[40.7127281, -74.0060152]"
976,"[40.72293705, -73.8622065151304]"
977,"[40.7607965, -73.979648]"
978,"[40.7127281, -74.0060152]"
979,"[40.7127281, -74.0060152]"
980,"[40.7607965, -73.979648]"
981,"[40.7127281, -74.0060152]"
982,"[34.220389, 70.3800314]"
983,"[40.7127281, -74.0060152]"
984,"[40.7127281, -74.0060152]"
985,"[40.7607965, -73.979648]"
986,"[40.7127281, -74.0060152]"
987,"[40.7127281, -74.0060152]"
988,"[40.7607965, -73.979648]"
989,"[40.7579089, -73.9854044]"
990,"[40.7127281, -74.0060152]"
991,"[40.7607965, -73.979648]"
992,"[40.7127281, -74.0060152]"
993,"[40.7579089, -73.9854044]"
994,"[34.220389, 70.3800314]"
995,"[34.220389, 70.3800314]"
996,"[34.220389, 70.3800314]"
997,"[34.220389, 70.3800314]"
998,"[34.220389, 70.3800314]"
999,"[40.74123595, -73.356691165361]"
1000,"[41.0762077, -73.8587461]"
1001,"[34.220389, 70.3800314]"
1002,"[34.220389, 70.3800314]"
1003,"[40.7578656, -73.9723107]"
1004,"[34.220389, 70.3800314]"
1005,"[40.7493074, -73.9794185]"
1006,"[40.74123595, -73.356691165361]"
1007,"[40.7127281, -74.0060152]"
1008,"[40.7602435, -74.0028752]"
1009,"[34.220389, 70.3800314]"
1010,"[40.7590924971735, -73.9736382465558]"
1011,"[40.7127281, -74.0060152]"
1012,"[34.220389, 70.3800314]"
1013,"[40.7493074, -73.9794185]"
1014,"[40.74123595, -73.356691165361]"
1015,"[40.72982535, -73.9607519781549]"
1016,"[40.7607161, -73.9669623]"
1017,"[40.7415237, -73.9571276]"
1018,"[40.7607161, -73.9669623]"
1019,"[40.5773266, -74.2282005]"
1020,"[40.7896239, -73.9598939]"
1021,"[34.220389, 70.3800314]"
1022,"[40.7127281, -74.0060152]"
1023,"[40.7127281, -74.0060152]"
1024,"[40.6501038, -73.9495823]"
1025,"[34.220389, 70.3800314]"
1026,"[40.7127281, -74.0060152]"
1027,"[40.6501038, -73.9495823]"
1028,"[34.220389, 70.3800314]"
1029,"[34.220389, 70.3800314]"
1030,"[40.7607161, -73.9669623]"
1031,"[34.220389, 70.3800314]"
1032,"[34.220389, 70.3800314]"
1033,"[34.220389, 70.3800314]"
1034,"[34.220389, 70.3800314]"
1035,"[40.7127281, -74.0060152]"
1036,"[40.7896239, -73.9598939]"
1037,"[34.220389, 70.3800314]"
1038,"[34.220389, 70.3800314]"
1039,"[34.220389, 70.3800314]"
1040,"[40.7127281, -74.0060152]"
1041,"[34.220389, 70.3800314]"
1042,"[40.7127281, -74.0060152]"
1043,"[34.220389, 70.3800314]"
1044,"[40.7127281, -74.0060152]"
1045,"[40.7127281, -74.0060152]"
1046,"[40.74123595, -73.356691165361]"
1047,"[40.7127281, -74.0060152]"
1048,"[40.7524472, -73.9646461]"
1049,"[40.7127281, -74.0060152]"
1050,"[40.7127281, -74.0060152]"
1051,"[40.8859326, -74.0434736]"
1052,"[40.7352157, -73.6883239]"
1053,"[34.220389, 70.3800314]"
1054,"[34.220389, 70.3800314]"
1055,"[40.7127281, -74.0060152]"
1056,"[34.220389, 70.3800314]"
1057,"[40.7127281, -74.0060152]"
1058,"[40.7415237, -73.9571276]"
1059,"[34.220389, 70.3800314]"
1060,"[40.7127281, -74.0060152]"
1061,"[40.7607161, -73.9669623]"
1062,"[40.6501038, -73.9495823]"
1063,"[40.7415237, -73.9571276]"
1064,"[34.220389, 70.3800314]"
1065,"[40.7524472, -73.9646461]"
1066,"[40.7644002, -73.998863]"
1067,"[34.220389, 70.3800314]"
1068,"[40.6501038, -73.9495823]"
1069,"[34.220389, 70.3800314]"
1070,"[34.220389, 70.3800314]"
1071,"[40.7127281, -74.0060152]"
1072,"[34.220389, 70.3800314]"
1073,"[40.7127281, -74.0060152]"
1074,"[40.74123595, -73.356691165361]"
1075,"[34.220389, 70.3800314]"
1076,"[40.74123595, -73.356691165361]"
1077,"[40.7513470533201, -73.975136004133]"
1078,"[40.7127281, -74.0060152]"
1079,"[34.220389, 70.3800314]"
1080,"[34.220389, 70.3800314]"
1081,"[34.220389, 70.3800314]"
1082,"[40.7607161, -73.9669623]"
1083,"[40.7579089, -73.9854044]"
1084,"[40.6501038, -73.9495823]"
1085,"[40.7127281, -74.0060152]"
1086,"[40.6501038, -73.9495823]"
1087,"[40.7578656, -73.9723107]"
1088,"[40.7127281, -74.0060152]"
1089,"[40.6501038, -73.9495823]"
1090,"[40.7578656, -73.9723107]"
1091,"[34.220389, 70.3800314]"
1092,"[40.6501038, -73.9495823]"
1093,"[40.7127281, -74.0060152]"
1094,"[34.220389, 70.3800314]"
1095,"[40.6501038, -73.9495823]"
1096,"[34.220389, 70.3800314]"
1097,"[40.6524927, -73.7914214158161]"
1098,"[40.85048545, -73.8404035580209]"
1099,"[40.74123595, -73.356691165361]"
1100,"[40.6524927, -73.7914214158161]"
1101,"[40.7607161, -73.9669623]"
1102,"[40.7524472, -73.9646461]"
1103,"[40.7524472, -73.9646461]"
1104,"[40.7127281, -74.0060152]"
1105,"[40.7127281, -74.0060152]"
1106,"[40.7644002, -73.998863]"
1107,"[40.74123595, -73.356691165361]"
1108,"[34.220389, 70.3800314]"
1109,"[34.220389, 70.3800314]"
1110,"[40.7127281, -74.0060152]"
1111,"[40.85048545, -73.8404035580209]"
1112,"[40.7978787, -73.6995749]"
1113,"[34.220389, 70.3800314]"
1114,"[40.7127281, -74.0060152]"
1115,"[40.7127281, -74.0060152]"
1116,"[40.7127281, -74.0060152]"
1117,"[40.7127281, -74.0060152]"
1118,"[40.7127281, -74.0060152]"
1119,"[40.7127281, -74.0060152]"
1120,"[40.7127281, -74.0060152]"
1121,"[40.74123595, -73.356691165361]"
1122,"[40.7127281, -74.0060152]"
1123,"[34.220389, 70.3800314]"
1124,"[34.220389, 70.3800314]"
1125,"[40.7127281, -74.0060152]"
1126,"[40.7590924971735, -73.9736382465558]"
1127,
1128,"[34.220389, 70.3800314]"
1129,"[40.7127281, -74.0060152]"
1130,"[34.220389, 70.3800314]"
1131,"[34.220389, 70.3800314]"
1132,"[40.7127281, -74.0060152]"
1133,"[40.7392225, -73.97336]"
1134,"[40.7810178, -73.959299675]"
1135,"[40.7127281, -74.0060152]"
1136,"[40.7524472, -73.9646461]"
1137,"[40.8157775, -73.951554]"
1138,"[40.7127281, -74.0060152]"
1139,"[40.7607161, -73.9669623]"
1140,"[40.72982535, -73.9607519781549]"
1141,"[34.220389, 70.3800314]"
1142,"[41.0762077, -73.8587461]"
1143,"[34.220389, 70.3800314]"
1144,"[40.7127281, -74.0060152]"
1145,"[40.7127281, -74.0060152]"
1146,"[40.74123595, -73.356691165361]"
1147,"[40.7127281, -74.0060152]"
1148,"[40.7127281, -74.0060152]"
1149,"[40.74123595, -73.356691165361]"
1150,"[40.7127281, -74.0060152]"
